Stock Symbol      Profit            Buy Price                  Buy Date
         XOM   36.065109  107.77999877929688  2023-11-03 00:00:00-04:00
        TSLA  148.380005   314.6000061035156  2023-11-03 00:00:00-04:00
        COST   98.725922    555.969970703125  2023-11-02 00:00:00-04:00
         PGR   45.083702  158.77000427246094  2023-11-02 00:00:00-04:00
          EA   15.424225  128.27999877929688  2023-11-02 00:00:00-04:00
        AMZN   32.459984              125.75  2023-10-30 00:00:00-04:00
          ZS   44.610016  156.80999755859375  2023-10-30 00:00:00-04:00
         NOC   55.597198  468.67999267578125  2023-10-30 00:00:00-04:00
         CME   44.330536   211.3300018310547  2023-10-30 00:00:00-04:00
         EOG   23.245140  125.44999694824219  2023-10-30 00:00:00-04:00
         SLB   20.150414  56.400001525878906  2023-10-30 00:00:00-04:00
          MS   30.656853  118.13999938964844  2023-10-30 00:00:00-04:00
       GOOGL   30.239998  124.45999908447266  2023-10-30 00:00:00-04:00
         MDB  207.835037  336.29998779296875  2023-10-30 00:00:00-04:00
        AMGN   43.540848  263.19000244140625  2023-10-30 00:00:00-04:00
        SMCI  236.893860   565.7100219726562  2023-10-30 00:00:00-04:00
         LLY  201.300018   236.6199951171875  2023-10-30 00:00:00-04:00
         USO    9.519997   76.05000305175781  2023-10-30 00:00:00-04:00
         XOP   29.940735  143.39999389648438  2023-10-30 00:00:00-04:00
         XLF   24.109550   84.91000366210938  2023-10-30 00:00:00-04:00
        GUSH   15.329006  36.369998931884766  2023-10-30 00:00:00-04:00
        TTWO   44.949989  133.35000610351562  2023-10-30 00:00:00-04:00
        CRWD   37.359978  172.82000732421875  2023-10-27 00:00:00-04:00
        INTU  127.107758   479.5199890136719  2023-10-27 00:00:00-04:00
        PANW   80.440018   238.7899932861328  2023-10-27 00:00:00-04:00
         JNJ   34.539703               525.0  2023-10-24 00:00:00-04:00
         SPY   17.110245                 None                       NaT
         QQQ   92.598846                 None                       NaT
         IWM  101.172333                 None                       NaT
         DIA   89.278168                 None                       NaT
         GLD   26.089966                 None                       NaT
         SLV    7.580000                 None                       NaT
        AAPL   36.479988                 None                       NaT
        GOOG   57.768600                 None                       NaT
        META   83.750000                 None                       NaT
        NVDA  293.455536                 None                       NaT
        MSFT   42.962997                 None                       NaT
         JPM   76.759125                 None                       NaT
         BAC    0.291565                 None                       NaT
         WFC    1.214348                 None                       NaT
           C   72.619019                 None                       NaT
           V    4.242947                 None                       NaT
          MA  126.154175                 None                       NaT
        PYPL  242.110016                 None                       NaT
        ADBE    0.000000                 None                       NaT
         CRM   94.029999                 None                       NaT
        NFLX  271.329956                 None                       NaT
         DIS    5.290001                 None                       NaT
          HD   50.255157                 None                       NaT
         MCD   54.344208                 None                       NaT
         NKE   29.814789                 None                       NaT
        SBUX   25.863647                 None                       NaT
          KO   21.917175                 None                       NaT
         PEP    5.241077                 None                       NaT
          PG   24.708313                 None                       NaT
         UNH   14.354218                 None                       NaT
         PFE   -0.893970                 None                       NaT
         MRK   33.595551                 None                       NaT
        ABBV   25.507034                 None                       NaT
         CVS    4.802628                 None                       NaT
         WMT   26.125534                 None                       NaT
         TGT   20.016129                 None                       NaT
        COST   48.431213                 None                       NaT
         TJX   19.869888                 None                       NaT
           M    8.706566                 None                       NaT
         AMT    9.846039                 None                       NaT
         CCI    8.755539                 None                       NaT
         PLD   45.701721                 None                       NaT
         SPG   24.168564                 None                       NaT
        EQIX  340.734314                 None                       NaT
         DLR   11.682121                 None                       NaT
         PSA   -0.704651                 None                       NaT
         AVB   17.978363                 None                       NaT
         EQR    4.338112                 None                       NaT
         AIV    2.220022                 None                       NaT
         UDR    4.269726                 None                       NaT
         VTR    8.020248                 None                       NaT
           O    5.708111                 None                       NaT
          WY    5.747921                 None                       NaT
         BXP    9.776196                 None                       NaT
         SLG    8.882551                 None                       NaT
         ARE   10.259048                 None                       NaT
         HST    0.164812                 None                       NaT
         HLT   42.155869                 None                       NaT
         MAR   87.237656                 None                       NaT
           H   14.549999                 None                       NaT
         HGV   45.733162                 None                       NaT
         IHG   25.503662                 None                       NaT
         CCL   31.209991                 None                       NaT
         RCL    4.600001                 None                       NaT
        NCLH    3.290001                 None                       NaT
         LUV   22.450005                 None                       NaT
         UAL    4.389679                 None                       NaT
         DAL   14.449034                 None                       NaT
         AAL    2.939999                 None                       NaT
        JBLU    2.450000                 None                       NaT
         ALK    7.620003                 None                       NaT
        SAVE   21.789986                 None                       NaT
        EXPE    0.424610                 None                       NaT
        BKNG 1595.669922                 None                       NaT
        TRIP   11.589998                 None                       NaT
         SIX    0.000000                 None                       NaT
         FUN    5.875484                 None                       NaT
        PLNT   22.889992                 None                       NaT
        SEAS   10.440002                 None                       NaT
         CZR   17.044998                 None                       NaT
         MGM   14.669594                 None                       NaT
        WYNN   70.320320                 None                       NaT
         LVS   16.065910                 None                       NaT
