Stock Symbol      Profit            Buy Price                  Buy Date
        BMRN    7.729996                 None                       NaT
        CDNS  107.359985                 None                       NaT
        CHKP   32.950005                 None                       NaT
        CTAS  106.609375                 None                       NaT
        CTSH    0.000000                 None                       NaT
        CTXS   10.525257                 None                       NaT
        EBAY    7.007256                 None                       NaT
        FAST   16.060215                 None                       NaT
        GILD   16.798424                 None                       NaT
         HAS    9.463173                 None                       NaT
        HSIC    5.619995                 None                       NaT
        IDXX  225.059998                 None                       NaT
        ILMN   23.919998                 None                       NaT
        INCY    4.340004                 None                       NaT
        ISRG   83.229996                 None                       NaT
        JBHT   31.500427                 None                       NaT
        KLAC  261.149567                 None                       NaT
        LRCX  294.616943                 None                       NaT
        MCHP   15.179424                 None                       NaT
        MDLZ   25.214344                 None                       NaT
        MNST   18.944996                 None                       NaT
        NTAP   13.809113                 None                       NaT
        NTES   65.044289                 None                       NaT
         CVX   33.024185                 None                       NaT
          GS    4.362000                 None                       NaT
         UNP   28.688934                 None                       NaT
         RTX   22.671181                 None                       NaT
          BA  114.250000                 None                       NaT
         MMM    1.130241                 None                       NaT
         CAT   82.815933                 None                       NaT
         IBM   31.796432                 None                       NaT
         HON   18.753479                 None                       NaT
          VZ    2.274063                 None                       NaT
         LMT   70.880829                 None                       NaT
          GE   53.041515                 None                       NaT
        SCHW   15.430359                 None                       NaT
         GDX    7.485996                 None                       NaT
         EEM    5.533958                 None                       NaT
         EWZ    8.840012                 None                       NaT
         FXI    0.000000                 None                       NaT
         ARM    3.391235                 None                       NaT
         LIN  132.241089                 None                       NaT
        CSCO   17.204292                 None                       NaT
         DHR    3.138641                 None                       NaT
         UPS   31.120285                 None                       NaT
          BX   23.254494                 None                       NaT
         TMO   63.453064                 None                       NaT
         MDT    9.661186                 None                       NaT
         BLK  142.108887                 None                       NaT
          PM   14.417885                 None                       NaT
         PNC   17.577209                 None                       NaT
        UBER   20.539999                 None                       NaT
        ABNB   57.124992                 None                       NaT
        BABA   10.220001                 None                       NaT
        SNAP    0.320000                 None                       NaT
         TSM   25.084869                 None                       NaT
          SQ   18.429993                 None                       NaT
        ROKU   49.840004                 None                       NaT
        DOCU   26.399994                 None                       NaT
         NET   34.540001                 None                       NaT
        OKTA   43.470001                 None                       NaT
        DDOG   36.600006                 None                       NaT
        SNOW   64.210007                 None                       NaT
        FSLY   12.769999                 None                       NaT
        PINS   10.359999                 None                       NaT
        TWLO   33.119999                 None                       NaT
        ETSY    4.669991                 None                       NaT
        FVRR    2.480000                 None                       NaT
       BRK-B   81.860046                 None                       NaT
         ACN   67.132294                 None                       NaT
         ABT   18.916046                 None                       NaT
        TMUS    8.780029                 None                       NaT
          MS   12.602737                 None                       NaT
         BMY    6.558472                 None                       NaT
         NOW  210.450043                 None                       NaT
        SPGI   79.717010                 None                       NaT
         AXP   46.092377                 None                       NaT
          DE   73.691315                 None                       NaT
          TM   34.470001                 None                       NaT
         ELV   16.946014                 None                       NaT
         NEE    4.313980                 None                       NaT
         SYK   80.909668                 None                       NaT
         MMC   34.139923                 None                       NaT
        VRTX  109.410065                 None                       NaT
          CI   57.630371                 None                       NaT
        REGN  347.399841                 None                       NaT
          CB   37.710403                 None                       NaT
         ADI   60.971100                 None                       NaT
         ETN  101.484955                 None                       NaT
         ZTS   61.542526                 None                       NaT
          MO    6.962639                 None                       NaT
         BDX   47.290787                 None                       NaT
         BSX   14.310001                 None                       NaT
        SNPS  180.960052                 None                       NaT
          SO    6.856316                 None                       NaT
          FI   19.719994                 None                       NaT
          WM   12.288208                 None                       NaT
        LULU  115.680023                 None                       NaT
         FDX   91.616989                 None                       NaT
        DELL   29.605053                 None                       NaT
         MSI  107.308517                 None                       NaT
         KHC    6.103588                 None                       NaT
        PLTR   14.420002                 None                       NaT
        MRNA   52.989990                 None                       NaT
         HYG   12.033295                 None                       NaT
         IVV  107.012970                 None                       NaT
         LQD   11.081985                 None                       NaT
         IEF    5.494385                 None                       NaT
         SMH   56.587006                 None                       NaT
        ARKK   18.614750                 None                       NaT
        SOXX  212.467316                 None                       NaT
        QUAL   32.011681                 None                       NaT
        XLRE    2.873058                 None                       NaT
        MSTR  208.040070                 None                       NaT
