Stock Symbol      Profit            Buy Price                  Buy Date
         GLD    7.580000   20.86009979248047  2023-11-08 00:00:00-05:00
        GILD   16.798439    77.4000015258789  2023-11-08 00:00:00-05:00
         LMT   67.960297   446.6400146484375  2023-11-08 00:00:00-05:00
        GLDM    5.559986   39.04999923706055  2023-11-07 00:00:00-05:00
         SLV   26.929977  182.58999633789062  2023-11-07 00:00:00-05:00
          CI   51.286072   306.8399963378906  2023-11-06 00:00:00-05:00
         XOM   37.643967  107.77999877929688  2023-11-03 00:00:00-04:00
         ERX   16.109009   39.06999969482422  2023-11-02 00:00:00-04:00
         PGR   46.368851  158.77000427246094  2023-11-02 00:00:00-04:00
        PANW   44.330536  212.57000732421875  2023-11-02 00:00:00-04:00
         EOG   27.161011  128.64999389648438  2023-11-02 00:00:00-04:00
         SLB   20.350418   57.36000061035156  2023-11-02 00:00:00-04:00
         NOC   58.718048   475.7699890136719  2023-11-02 00:00:00-04:00
         USO   12.110001   76.18000030517578  2023-11-02 00:00:00-04:00
         XOP   33.064133   148.7100067138672  2023-11-02 00:00:00-04:00
         COP   32.132736  118.80000305175781  2023-10-31 00:00:00-04:00
         XLE   26.789597   85.19000244140625  2023-10-31 00:00:00-04:00
        AMGN   43.540817   255.6999969482422  2023-10-31 00:00:00-04:00
         CME   82.856689   238.7899932861328  2023-10-27 00:00:00-04:00
         JNJ   32.677368               525.0  2023-10-24 00:00:00-04:00
         SPY   94.135742                 None                      None
         QQQ  119.031616                 None                      None
         IWM   29.180969                 None                      None
         DIA   91.144806                 None                      None
        AAPL   57.768600                 None                      None
        AMZN   41.049988                 None                      None
        GOOG   39.769981                 None                      None
        META  140.819992                 None                      None
        TSLA   83.750000                 None                      None
        NVDA  293.455551                 None                      None
        MSFT   76.759155                 None                      None
         JPM   43.732948                 None                      None
         BAC    0.291561                 None                      None
         WFC    1.214355                 None                      None
           C    4.828461                 None                      None
           V   72.619019                 None                      None
          MA  242.110016                 None                      None
        ADBE  139.343628                 None                      None
         CRM   94.029999                 None                      None
        NFLX  271.329956                 None                      None
         DIS    8.949997                 None                      None
          HD   51.686279                 None                      None
         MCD   29.814789                 None                      None
         NKE   56.261292                 None                      None
        SBUX   24.316490                 None                      None
          KO   21.917191                 None                      None
