Stock Symbol   Profit            Buy Price                  Buy Date
        SQQQ 0.000000  19.809999465942383  2023-10-19 00:00:00-04:00
         SPY 3.896240                 None                       NaT
         QQQ 3.215363                 None                       NaT
         IWM 0.000000                 None                       NaT
